16.0.10367.20000,October 2020 CU,2020 October 1,SharePoint Server 2019 (Language Dependent),KB 4486675
16.0.10366.12106,September 2020 CU,2020 September 1,SharePoint Server 2019 (Language Dependent),KB 4484504
16.0.10364.20001,August 2020 CU,2020 August 1,SharePoint Server 2019 (Language Dependent),KB 4484471
16.0.10363.12107,July 2020 CU,2020 July 1,SharePoint Server 2019 (Language Independent),KB 4484453
16.0.10361.12114,June 2020 CU,2020 June 1,SharePoint Server 2019 (Language Independent),KB 4484400
16.0.10359.20000,May 2020 CU,2020 May 1,SharePoint Server 2019 (Language Dependent),KB 4484331
16.0.10358.20000,April 2020 CU,2020 April 1,SharePoint Server 2019 (Language Dependent),KB 4484291
16.0.10357.20002,March 2020 CU,2020 March 1,SharePoint Server 2019 (Language Dependent),KB 4484277
16.0.10355.20000,February 2020 CU,2020 February 1,SharePoint Server 2019 (Office Online Server February 2020 Patc),KB 4484254
16.0.10354.20000,January 2020 CU,2020 January 1,SharePoint Server 2019 (Language Independent),KB 4484224
16.0.10353.20001,December 2019 CU,2019 December 1,SharePoint Server 2019 (Language Dependent),KB 4484176
16.0.10352.20000,November 2019 CU,2019 November 1,SharePoint Server 2019 (Language Dependent),KB 4484149
16.0.10351.20000,October 2019 CU,2019 October 1,SharePoint Server 2019 (Language Dependent),KB 4484109
16.0.10350.20000,September 2019 CU,2019 September 1,SharePoint Server 2019 (Language Dependent Files),KB 4464557
16.0.10349.20000,August 2019 CU,2019 August 1,SharePoint Server 2019 (Language Independent Files),KB 4475555
16.0.10345.12101,May 2019 CU,2019 May 1,SharePoint Server 2019 (Office Online Server May 2019 Patc),KB 4462169
16.0.10343.20000,April 2019 CU,2019 April 1,SharePoint Server 2019 (Language Dependent),KB 4462221
16.0.10342.12113,March 2019 CU,2019 March 1,SharePoint Server 2019 (Language Independent),KB 4462199
16.0.10341.20000,February 2019 CU,2019 February 1,SharePoint Server 2019 (Language Independent),KB 4462171
16.0.10340.12101,January 2019 CU,2019 January 1,SharePoint Server 2019 (Language Independent),KB 4461634
16.0.10339.12102,December 2018 CU,2018 December 1,SharePoint Server 2019 (December 2018 Patc),KB 4461548
16.0.10337.12109,October 2018,2018 October 22,Sharepoint 2019 RTM,RTM
16.0.5071.1001,October 2020 CU,2020 October 1,SharePoint Server 2016 (Language Dependent Files),KB 4486681
16.0.5056.1001,September 2020 CU,2020 September 1,SharePoint Server 2016 (Language Dependent Files),KB 4484512
16.0.5044.1001,August 2020 CU,2020 August 1,SharePoint Server 2016 (Language Dependent Files),KB 4484476
16.0.5032.1001,July 2020 CU,2020 July 1,SharePoint Server 2016 (Language Dependent Files),KB 4484440
16.0.5017.1001,June 2020 CU,2020 June 1,SharePoint Server 2016 (Language Dependent Files),KB 4484344
16.0.5005.1000,May 2020 CU,2020 May 1,SharePoint Server 2016 (Language Independent Files),KB 4484336
16.0.4993.1000,April 2020 CU,2020 April 1,SharePoint Server 2016 (Language Independent Files),KB 4484299
16.0.4978.1000,March 2020 CU,2020 March 1,SharePoint Server 2016 (Language Independent Files),KB 4484272
16.0.4966.1000,February 2020 CU,2020 February 1,SharePoint Server 2016 (Language Independent Files),KB 4484255
16.0.4954.1000,January 2020 CU,2020 January 1,SharePoint Server 2016 (Language Independent Files),KB 4484215
16.0.4939.1000,December 2019 CU,2019 December 1,SharePoint Server 2016 (Language Independent Files),KB 4484178
16.0.4927.1000,November 2019 CU,2019 November 1,SharePoint Server 2016 (Language Independent Files),KB 4484143
16.0.4912.1000,October 2019 CU,2019 October 1,SharePoint Server 2016 (Language Independent),KB 4484111
16.0.4900.1000,September 2019 CU,2019 September 1,SharePoint Server 2016 (Language Independent),KB 4475590
16.0.4888.1000,August 2019 CU,2019 August 1,SharePoint Server 2016 (Language Independent),KB 4475549
16.0.4861.1000,June 2019 CU,2019 June 1,SharePoint Server 2016 (Language Independent Files),KB 4464594
16.0.4834.1000,April 2019 CU,2019 April 1,SharePoint Server 2016 (Language Dependent Files),KB 4461507
16.0.4822.1000,March 2019 CU,2019 March 1,SharePoint Server 2016 (Language Independent Files),KB 4462211
16.0.4795.1001,January 2019 CU,2019 January 1,SharePoint Server 2016 (Language Independent Files),KB 4461598
16.0.4783.1000,December 2018 CU,2018 December 1,SharePoint Server 2016 (Language Independent Files),KB 4461541
16.0.4756.1002,October 2018 CU,2018 October 1,SharePoint Server 2016 (Language Dependent Files),KB 4092463
16.0.4744.1000,September 2018 CU,2018 September 1,SharePoint Server 2016 (Language Independent Files),KB 4092459
16.0.4732.1000,August 2018 CU,2018 August 1,SharePoint Server 2016 (Language Independent Files),KB 4032256
16.0.4705.1000,June 2018 CU,2018 June 1,SharePoint Server 2016 (Language Independent Files),KB 4022173
16.0.4690.1000,May 2018 CU,2018 May 1,SharePoint Server 2016 (Language Dependent Files),KB 4018386
16.0.4678.1000,April 2018 CU,2018 April 1,SharePoint Server 2016 (Language Dependent Files),KB 4018340
16.0.4666.1002,March 2018 CU,2018 March 1,SharePoint Server 2016 (Language Independent Files),KB 4018293
16.0.4639.1002,January 2018 CU,2018 January 1,SharePoint Server 2016 (Language Independent Files),KB 4011642
16.0.4627.1000,December 2017 CU,2017 December 1,SharePoint Server 2016 (Language Dependent Files),KB 4011578
16.0.4615.1000,November 2017 CU,2017 November 1,SharePoint Server 2016 (Language Dependent Files),KB 4011243
16.0.4600.1002,October 2017 CU,2017 October 1,SharePoint Server 2016 (Language Independent Files),KB 4011217
16.0.4588.1000,September 2017 CU,2017 September 1,SharePoint Server 2016 (Language Dependent Files),KB 4011112
16.0.4573.1000,August 2017 CU,2017 August 1,SharePoint Server 2016 (Language Dependent Files),KB 4011053
16.0.4561.1000,July 2017 CU,2017 July 1,SharePoint Server 2016 (Language Independent Files),KB 3213544
